net,length_um
net79,201.915µm
clknet_0_clk,192.505µm
_0074_,180.97µm
net86,179.955µm
net82,152.63µm
net76,146.1µm
net37,143.655µm
net78,133.965µm
net34,133.38µm
net38,127.65µm
net68,120.685µm
net92,115.33µm
net36,114.3µm
net33,111.95µm
net70,111.43µm
net81,111.085µm
net22,109.185µm
net32,106.205µm
net63,105.5µm
_0276_,105.25µm
net35,101.475µm
net66,101.205µm
net21,100.48µm
net83,100.095µm
net85,99.745µm
net90,97.025µm
net4,96.72µm
net20,95.405µm
clknet_3_1__leaf_clk,94.665µm
net71,94.655µm
net80,93.16µm
net29,92.605µm
clk,90.66µm
net77,89.46µm
net25,88.915µm
net87,85.49µm
net26,85.3µm
net72,78.805µm
net60,77.58µm
net89,76.67µm
net74,76.225µm
net24,73.78µm
net28,73.63µm
net91,73.095µm
net31,72.68µm
clknet_3_5__leaf_clk,71.3µm
net62,70.79µm
_0054_,68.82µm
net84,67.83µm
net88,66.955µm
net23,66.02µm
clknet_3_7__leaf_clk,64.99µm
clknet_3_4__leaf_clk,64.3µm
net30,63.39µm
net47,62.49µm
net48,62µm
net64,60.58µm
net11,60.385µm
net67,60.225µm
_0061_,58.84µm
net27,56.42µm
net42,55.05µm
_0325_,55.03µm
max_class[1],54.93µm
net61,54.1µm
max_score[8],53.49µm
class_id[2],53.3µm
clknet_3_6__leaf_clk,53.205µm
net8,51.75µm
net40,51.615µm
net7,51.06µm
net49,50.605µm
clknet_3_3__leaf_clk,49.22µm
net57,48.19µm
clknet_3_0__leaf_clk,47.485µm
net12,46.92µm
clknet_3_2__leaf_clk,46.14µm
_0371_,45.87µm
max_score[5],45.44µm
net52,44.075µm
net9,43.705µm
net10,42.87µm
net3,42.285µm
_0470_,42.235µm
net75,41.97µm
_0279_,40.745µm
net43,39.855µm
net53,39.015µm
net69,37.7µm
_0073_,37.68µm
net55,36.67µm
net58,36.62µm
max_score[0],36.03µm
net51,36.025µm
net44,35.225µm
_0223_,34.855µm
net15,34.69µm
net13,34.46µm
acc20[19],34.23µm
max_class[2],34.05µm
_0422_,33.85µm
max_score[19],33.605µm
net45,33.045µm
max_score[2],32.6µm
acc20[18],32.31µm
_0066_,31.99µm
new_class,30.62µm
_0340_,30.265µm
acc20[5],30.2µm
_0341_,30.12µm
_0057_,30.06µm
_0352_,29.95µm
net54,29.35µm
_0338_,29.05µm
net65,28.385µm
max_score[1],28.34µm
_0228_,27.79µm
_0199_,27.78µm
net93,27.78µm
_0045_,27.735µm
_0423_,27.65µm
_0307_,27.6µm
max_score[16],27.14µm
net50,26.96µm
_0437_,26.53µm
_0164_,26.52µm
max_score[17],26.36µm
net59,26.31µm
_0435_,26.12µm
_0448_,26.04µm
acc20[15],25.805µm
max_score[13],25.59µm
_0221_,25.57µm
max_score[4],25.17µm
net148,25.1µm
_0227_,25.08µm
_0134_,24.84µm
max_class[0],24.62µm
net118,24.55µm
_0474_,24.54µm
net116,24.42µm
_0365_,24.2µm
_0243_,23.755µm
_0345_,23.71µm
class_id[1],23.67µm
_0294_,23.585µm
class_id[0],23.42µm
acc20[17],23.25µm
_0278_,23.17µm
_0479_,23.1µm
_0252_,23.065µm
_0321_,23.025µm
max_score[7],23µm
_0477_,22.8µm
_0064_,22.21µm
_0310_,22.065µm
net19,21.97µm
_0232_,21.9µm
net46,21.87µm
_0363_,21.8µm
_0060_,21.79µm
_0449_,21.74µm
_0078_,21.62µm
_0144_,21.6µm
net56,21.24µm
net73,21.155µm
_0361_,21.115µm
_0430_,20.88µm
_0359_,20.825µm
_0385_,20.76µm
_0071_,20.62µm
max_score[6],20.61µm
_0289_,20.59µm
net134,20.53µm
_0391_,20.52µm
max_score[11],20.48µm
net18,20.46µm
_0195_,20.42µm
_0051_,20.255µm
rst_n,20.18µm
_0010_,20.11µm
max_score[12],19.89µm
_0168_,19.83µm
_0463_,19.77µm
_0201_,19.68µm
net147,19.62µm
net114,19.57µm
net39,19.46µm
_0172_,19.36µm
_0347_,19.34µm
max_score[18],19.28µm
_0269_,19.16µm
_0255_,19.14µm
_0339_,18.9µm
_0044_,18.895µm
net14,18.895µm
_0108_,18.885µm
_0399_,18.85µm
max_score[10],18.56µm
max_score[9],18.56µm
max_score[3],18.5µm
_0094_,18.49µm
_0304_,18.49µm
_0379_,18.49µm
_0373_,18.48µm
max_score[14],18.44µm
_0427_,18.43µm
_0247_,18.42µm
new_feat,18.36µm
w_int8[0],18.36µm
_0086_,18.265µm
_0317_,18.14µm
_0348_,18.02µm
_0465_,18µm
_0058_,17.805µm
_0046_,17.8µm
net154,17.77µm
_0158_,17.68µm
acc20[11],17.6µm
acc20[12],17.6µm
acc20[13],17.6µm
_0213_,17.575µm
_0250_,17.54µm
_0233_,17.53µm
w_int8[1],17.4µm
w_int8[2],17.4µm
x_int4[0],17.4µm
_0291_,17.35µm
_0224_,17.34µm
_0222_,17.305µm
net5,17.23µm
_0454_,17.22µm
_0349_,17.215µm
_0182_,17.17µm
net149,17.17µm
_0319_,17.14µm
acc20[14],17.12µm
acc20[3],17.11µm
_0302_,17.03µm
_0141_,16.98µm
_0079_,16.93µm
_0315_,16.87µm
_0059_,16.86µm
x_int4[3],16.86µm
_0146_,16.56µm
_0251_,16.56µm
_0336_,16.555µm
_0297_,16.545µm
_0439_,16.45µm
_0209_,16.33µm
net122,16.33µm
_0212_,16.295µm
_0191_,16.15µm
acc20[0],16.14µm
acc20[1],16.14µm
acc20[2],16.14µm
acc20[4],16.14µm
_0241_,16.1µm
_0335_,15.975µm
net97,15.85µm
_0092_,15.845µm
_0056_,15.79µm
_0409_,15.78µm
net41,15.78µm
_0346_,15.765µm
_0380_,15.695µm
_0043_,15.6µm
_0393_,15.6µm
net106,15.5µm
_0216_,15.42µm
_0350_,15.39µm
_0265_,15.265µm
_0316_,15.205µm
net17,14.77µm
_0167_,14.755µm
_0389_,14.745µm
_0425_,14.59µm
_0050_,14.56µm
_0286_,14.53µm
_0135_,14.46µm
_0322_,14.175µm
_0085_,14.16µm
_0187_,14.16µm
_0355_,14.16µm
_0313_,14.1µm
_0136_,13.995µm
_0390_,13.805µm
net140,13.75µm
_0067_,13.665µm
_0420_,13.665µm
_0244_,13.62µm
_0117_,13.5µm
w_int8[6],13.5µm
_0327_,13.495µm
net2,13.45µm
net151,13.39µm
_0122_,13.38µm
_0456_,13.365µm
_0188_,13.21µm
_0440_,13.21µm
_0413_,13.16µm
_0077_,13.155µm
_0047_,13.04µm
_0443_,13.02µm
net144,12.97µm
_0492_,12.9µm
x_int4[1],12.9µm
acc20[16],12.86µm
_0049_,12.85µm
net6,12.85µm
_0432_,12.84µm
net108,12.74µm
_0410_,12.73µm
_0452_,12.73µm
_0012_,12.72µm
_0459_,12.67µm
_0284_,12.66µm
_0403_,12.625µm
net137,12.585µm
_0084_,12.56µm
_0445_,12.56µm
_0431_,12.55µm
_0489_,12.54µm
_0159_,12.515µm
_0438_,12.49µm
net155,12.49µm
_0106_,12.48µm
_0072_,12.395µm
_0230_,12.26µm
_0169_,12.21µm
_0137_,12.13µm
_0256_,12.01µm
net142,12.01µm
_0331_,12µm
_0442_,12µm
_0309_,11.995µm
_0048_,11.92µm
_0320_,11.83µm
_0457_,11.79µm
_0116_,11.78µm
_0332_,11.78µm
_0174_,11.76µm
_0407_,11.76µm
_0281_,11.6µm
net110,11.52µm
_0303_,11.515µm
net112,11.47µm
net150,11.47µm
_0157_,11.44µm
_0127_,11.42µm
_0208_,11.41µm
_0394_,11.385µm
_0161_,11.36µm
_0111_,11.35µm
_0139_,11.29µm
_0107_,11.28µm
_0484_,11.24µm
_0360_,11.195µm
_0458_,11.18µm
_0330_,11.16µm
net16,11.135µm
net100,11.11µm
_0473_,11.1µm
_0097_,11.07µm
_0101_,11.07µm
_0070_,11.05µm
net141,11.05µm
net145,11.05µm
net156,11.05µm
_0283_,11.04µm
_0196_,10.99µm
_0482_,10.99µm
_0080_,10.98µm
x_int4[2],10.98µm
_0207_,10.93µm
_0130_,10.9µm
_0366_,10.82µm
_0362_,10.81µm
_0386_,10.81µm
_0120_,10.8µm
_0326_,10.765µm
_0147_,10.725µm
_0229_,10.71µm
_0374_,10.62µm
_0469_,10.51µm
_0370_,10.5µm
_0447_,10.45µm
net135,10.38µm
_0376_,10.32µm
_0053_,10.315µm
_0343_,10.235µm
_0354_,10.23µm
_0372_,10.23µm
_0329_,10.165µm
_0133_,10.15µm
_0036_,10.14µm
net146,10.09µm
_0478_,10.02µm
_0115_,9.965µm
acc20[6],9.96µm
_0081_,9.94µm
_0186_,9.92µm
_0266_,9.86µm
_0029_,9.84µm
_0118_,9.84µm
_0242_,9.84µm
_0189_,9.79µm
_0272_,9.78µm
net139,9.61µm
net152,9.61µm
_0025_,9.55µm
_0324_,9.44µm
_0021_,9.43µm
_0173_,9.42µm
w_int8[4],9.3µm
_0175_,9.24µm
_0299_,9.24µm
_0171_,9.18µm
_0282_,9.18µm
_0069_,8.935µm
_0378_,8.9µm
net153,8.9µm
max_score[15],8.85µm
_0446_,8.83µm
_0288_,8.77µm
_0342_,8.77µm
_0020_,8.76µm
_0287_,8.76µm
net124,8.71µm
net136,8.65µm
_0215_,8.64µm
_0412_,8.64µm
_0475_,8.64µm
net105,8.64µm
_0088_,8.59µm
