Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_240,VSS,Metal1,122.6460,128.9800,0.000776
FILLER_30_233,VSS,Metal1,119.2860,128.9800,0.000776
FILLER_30_226,VSS,Metal1,115.9260,128.9800,0.000776
FILLER_30_219,VSS,Metal1,112.5660,128.9800,0.000776
FILLER_30_212,VSS,Metal1,109.2060,128.9800,0.000776
FILLER_30_194,VSS,Metal1,99.1200,128.5200,0.000131
FILLER_30_192,VSS,Metal1,98.4000,128.5200,0.000131
FILLER_30_173,VSS,Metal1,89.2800,128.5200,0.000353
FILLER_30_155,VSS,Metal1,80.4000,128.5200,0.000668
FILLER_30_145,VSS,Metal1,75.6000,128.5200,0.000810
FILLER_30_105,VSS,Metal1,57.1080,128.8960,0.001097
FILLER_30_98,VSS,Metal1,54.4860,128.9800,0.001115
FILLER_30_88,VSS,Metal1,48.2400,128.5200,0.001120
FILLER_30_84,VSS,Metal1,47.0280,128.8960,0.001120
FILLER_30_77,VSS,Metal1,44.4060,128.9800,0.001120
FILLER_30_70,VSS,Metal1,41.0460,128.9800,0.000168
FILLER_30_63,VSS,Metal1,37.6860,128.9800,0.000062
FILLER_30_56,VSS,Metal1,34.3260,128.9800,0.000051
FILLER_30_49,VSS,Metal1,30.9660,128.9800,0.000039
FILLER_30_42,VSS,Metal1,27.6060,128.9800,0.000027
FILLER_30_35,VSS,Metal1,24.2460,128.9800,0.000016
FILLER_30_28,VSS,Metal1,20.8860,128.9800,0.000016
FILLER_30_21,VSS,Metal1,17.5260,128.9800,0.000016
FILLER_30_14,VSS,Metal1,14.1660,128.9800,0.000016
FILLER_30_7,VSS,Metal1,10.8060,128.9800,0.000016
FILLER_30_0,VSS,Metal1,7.4460,128.9800,0.000016
FILLER_29_246,VSS,Metal1,124.0800,128.5200,0.000776
FILLER_29_244,VSS,Metal1,123.3600,128.5200,0.000776
FILLER_29_237,VSS,Metal1,121.2060,128.0590,0.000776
FILLER_29_230,VSS,Metal1,117.8460,128.0590,0.000776
FILLER_29_109,VSS,Metal1,58.3200,128.5200,0.001096
FILLER_29_74,VSS,Metal1,41.5200,128.5200,0.000168
FILLER_29_70,VSS,Metal1,40.3080,128.1430,0.000168
FILLER_29_63,VSS,Metal1,37.6860,128.0590,0.000062
FILLER_29_56,VSS,Metal1,34.3260,128.0590,0.000051
FILLER_29_49,VSS,Metal1,30.9660,128.0590,0.000039
FILLER_29_42,VSS,Metal1,27.6060,128.0590,0.000027
FILLER_29_35,VSS,Metal1,24.2460,128.0590,0.000016
FILLER_29_28,VSS,Metal1,20.8860,128.0590,0.000016
FILLER_29_21,VSS,Metal1,17.5260,128.0590,0.000016
FILLER_29_14,VSS,Metal1,14.1660,128.0590,0.000016
FILLER_29_7,VSS,Metal1,10.8060,128.0590,0.000016
FILLER_29_0,VSS,Metal1,7.4460,128.0590,0.000016
FILLER_28_246,VSS,Metal1,124.0800,120.9600,0.000159
FILLER_28_239,VSS,Metal1,122.1660,121.4200,0.000159
FILLER_28_232,VSS,Metal1,118.8060,121.4200,0.000159
FILLER_28_225,VSS,Metal1,115.4460,121.4200,0.000159
FILLER_28_209,VSS,Metal1,107.7660,121.4200,0.000122
FILLER_28_176,VSS,Metal1,91.1880,121.3360,0.000315
FILLER_28_155,VSS,Metal1,80.6400,120.9600,0.000315
FILLER_28_140,VSS,Metal1,73.2000,120.9600,0.000540
FILLER_28_138,VSS,Metal1,72.4800,120.9600,0.000540
FILLER_28_100,VSS,Metal1,54.2400,120.9600,0.000783
FILLER_28_64,VSS,Metal1,36.9600,120.9600,0.000494
FILLER_28_51,VSS,Metal1,30.4800,120.9600,0.000114
FILLER_28_49,VSS,Metal1,29.7600,120.9600,0.000114
FILLER_28_44,VSS,Metal1,27.1200,120.9600,0.000093
FILLER_28_30,VSS,Metal1,20.4000,120.9600,0.000099
FILLER_28_28,VSS,Metal1,19.6800,120.9600,0.000099
FILLER_28_21,VSS,Metal1,17.5260,121.4200,0.000099
FILLER_28_14,VSS,Metal1,14.1660,121.4200,0.000099
FILLER_28_7,VSS,Metal1,10.8060,121.4200,0.000099
FILLER_28_0,VSS,Metal1,7.4460,121.4200,0.000099
FILLER_27_241,VSS,Metal1,121.9200,120.9600,0.000159
FILLER_27_237,VSS,Metal1,120.4680,120.5830,0.000159
FILLER_27_230,VSS,Metal1,117.8460,120.4990,0.000159
FILLER_27_222,VSS,Metal1,113.2680,120.5830,0.000151
FILLER_27_214,VSS,Metal1,108.7200,120.9600,0.000122
FILLER_27_212,VSS,Metal1,108.0000,120.9600,0.000122
FILLER_27_205,VSS,Metal1,105.8460,120.4990,0.000122
FILLER_27_153,VSS,Metal1,79.4400,120.9600,0.000322
FILLER_27_151,VSS,Metal1,78.7200,120.9600,0.000322
FILLER_27_146,VSS,Metal1,76.0800,120.9600,0.000520
FILLER_27_144,VSS,Metal1,75.3600,120.9600,0.000520
FILLER_27_137,VSS,Metal1,71.7600,120.9600,0.000554
FILLER_27_133,VSS,Metal1,70.5480,120.5830,0.000556
FILLER_27_129,VSS,Metal1,67.9200,120.9600,0.000760
FILLER_27_127,VSS,Metal1,67.2000,120.9600,0.000760
FILLER_27_120,VSS,Metal1,65.0460,120.4990,0.000785
FILLER_27_79,VSS,Metal1,44.1600,120.9600,0.000781
FILLER_27_64,VSS,Metal1,36.7200,120.9600,0.000494
FILLER_27_46,VSS,Metal1,28.3200,120.9600,0.000102
FILLER_27_25,VSS,Metal1,18.0000,120.9600,0.000099
FILLER_27_21,VSS,Metal1,16.7880,120.5830,0.000099
FILLER_27_14,VSS,Metal1,14.1660,120.4990,0.000099
FILLER_27_7,VSS,Metal1,10.8060,120.4990,0.000099
FILLER_27_0,VSS,Metal1,7.4460,120.4990,0.000099
FILLER_26_246,VSS,Metal1,124.0800,113.4000,0.000241
FILLER_26_208,VSS,Metal1,105.8400,113.4000,0.000173
FILLER_26_206,VSS,Metal1,105.1200,113.4000,0.000169
FILLER_26_199,VSS,Metal1,102.9660,113.8600,0.000134
FILLER_26_193,VSS,Metal1,98.8800,113.4000,0.000279
FILLER_26_185,VSS,Metal1,95.5080,113.7760,0.000294
FILLER_26_178,VSS,Metal1,92.8860,113.8600,0.000294
FILLER_26_140,VSS,Metal1,73.2000,113.4000,0.000613
FILLER_26_136,VSS,Metal1,71.9880,113.7760,0.000616
FILLER_26_129,VSS,Metal1,69.3660,113.8600,0.000634
FILLER_26_122,VSS,Metal1,66.0060,113.8600,0.000785
FILLER_26_83,VSS,Metal1,45.8400,113.4000,0.000849
FILLER_26_81,VSS,Metal1,45.1200,113.4000,0.000849
FILLER_26_71,VSS,Metal1,40.0800,113.4000,0.000835
FILLER_26_69,VSS,Metal1,39.3600,113.4000,0.000810
FILLER_26_55,VSS,Metal1,32.4000,113.4000,0.000210
FILLER_26_48,VSS,Metal1,30.4860,113.8600,0.000207
FILLER_26_42,VSS,Metal1,26.1600,113.4000,0.000081
FILLER_26_40,VSS,Metal1,25.4400,113.4000,0.000038
FILLER_26_28,VSS,Metal1,20.1480,113.7760,0.000040
FILLER_26_21,VSS,Metal1,17.5260,113.8600,0.000043
FILLER_26_14,VSS,Metal1,14.1660,113.8600,0.000060
FILLER_26_7,VSS,Metal1,10.8060,113.8600,0.000060
FILLER_26_0,VSS,Metal1,7.4460,113.8600,0.000060
FILLER_25_204,VSS,Metal1,103.9200,113.4000,0.000134
FILLER_25_187,VSS,Metal1,96.0000,113.4000,0.000294
FILLER_25_183,VSS,Metal1,94.5480,113.0230,0.000294
FILLER_25_141,VSS,Metal1,73.9200,113.4000,0.000592
FILLER_25_129,VSS,Metal1,68.6280,113.0230,0.000634
FILLER_25_119,VSS,Metal1,63.1200,113.4000,0.000831
FILLER_25_115,VSS,Metal1,61.2000,113.4000,0.000856
FILLER_25_113,VSS,Metal1,60.4800,113.4000,0.000856
FILLER_25_105,VSS,Metal1,57.1080,113.0230,0.000873
FILLER_25_90,VSS,Metal1,49.2000,113.4000,0.000862
FILLER_25_86,VSS,Metal1,47.9880,113.0230,0.000862
FILLER_25_79,VSS,Metal1,45.3660,112.9390,0.000849
FILLER_25_70,VSS,Metal1,40.3080,113.0230,0.000835
FILLER_25_56,VSS,Metal1,33.5880,113.0230,0.000290
FILLER_25_49,VSS,Metal1,30.9660,112.9390,0.000210
FILLER_25_42,VSS,Metal1,27.6060,112.9390,0.000081
FILLER_25_35,VSS,Metal1,24.2460,112.9390,0.000038
FILLER_25_25,VSS,Metal1,18.2400,113.4000,0.000043
FILLER_25_21,VSS,Metal1,16.7880,113.0230,0.000043
FILLER_25_14,VSS,Metal1,13.4280,113.0230,0.000060
FILLER_25_7,VSS,Metal1,10.8060,112.9390,0.000060
FILLER_25_0,VSS,Metal1,7.4460,112.9390,0.000060
FILLER_24_194,VSS,Metal1,100.5660,106.3000,0.000153
FILLER_24_149,VSS,Metal1,77.7600,105.8400,0.000552
FILLER_24_102,VSS,Metal1,55.2000,105.8400,0.000899
FILLER_24_96,VSS,Metal1,52.0800,105.8400,0.000904
FILLER_24_92,VSS,Metal1,50.8680,106.2160,0.000904
FILLER_24_85,VSS,Metal1,48.2460,106.3000,0.000905
FILLER_24_64,VSS,Metal1,36.9600,105.8400,0.000785
FILLER_24_60,VSS,Metal1,35.5080,106.2160,0.000785
FILLER_24_53,VSS,Metal1,32.8860,106.3000,0.000703
