Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_240,VDD,Metal1,122.6490,131.7010,1.199809
FILLER_30_233,VDD,Metal1,119.2890,131.7010,1.199809
FILLER_30_226,VDD,Metal1,115.9290,131.7010,1.199809
FILLER_30_219,VDD,Metal1,112.5690,131.7010,1.199809
FILLER_30_212,VDD,Metal1,109.2090,131.7010,1.199809
FILLER_30_194,VDD,Metal1,99.1200,132.3000,1.199878
FILLER_30_192,VDD,Metal1,98.4000,132.3000,1.199878
FILLER_30_173,VDD,Metal1,89.2800,132.3000,1.199875
FILLER_30_155,VDD,Metal1,80.4000,132.3000,1.199740
FILLER_30_145,VDD,Metal1,75.6000,132.3000,1.199722
FILLER_30_105,VDD,Metal1,57.1310,131.7030,1.199818
FILLER_30_98,VDD,Metal1,54.4890,131.7010,1.199824
FILLER_30_88,VDD,Metal1,48.2400,132.3000,1.199881
FILLER_30_84,VDD,Metal1,47.0510,131.7030,1.199900
FILLER_30_77,VDD,Metal1,44.4090,131.7010,1.199909
FILLER_30_70,VDD,Metal1,41.0490,131.7010,1.199918
FILLER_30_63,VDD,Metal1,37.6890,131.7010,1.199928
FILLER_30_56,VDD,Metal1,34.3290,131.7010,1.199938
FILLER_30_49,VDD,Metal1,30.9690,131.7010,1.199948
FILLER_30_42,VDD,Metal1,27.6090,131.7010,1.199958
FILLER_30_35,VDD,Metal1,24.2490,131.7010,1.199968
FILLER_30_28,VDD,Metal1,20.8890,131.7010,1.199978
FILLER_30_21,VDD,Metal1,17.5290,131.7010,1.199986
FILLER_30_14,VDD,Metal1,14.1690,131.7010,1.199986
FILLER_30_7,VDD,Metal1,10.8090,131.7010,1.199986
FILLER_30_0,VDD,Metal1,7.4490,131.7010,1.199986
FILLER_29_246,VDD,Metal1,124.0800,124.7400,1.198668
FILLER_29_244,VDD,Metal1,123.3600,124.7400,1.198668
FILLER_29_237,VDD,Metal1,121.2090,125.3380,1.198668
FILLER_29_230,VDD,Metal1,117.8490,125.3380,1.198668
FILLER_29_109,VDD,Metal1,58.3200,124.7400,1.199836
FILLER_29_74,VDD,Metal1,41.5200,124.7400,1.199795
FILLER_29_70,VDD,Metal1,40.3310,125.3360,1.199797
FILLER_29_63,VDD,Metal1,37.6890,125.3380,1.199798
FILLER_29_56,VDD,Metal1,34.3290,125.3380,1.199804
FILLER_29_49,VDD,Metal1,30.9690,125.3380,1.199876
FILLER_29_42,VDD,Metal1,27.6090,125.3380,1.199949
FILLER_29_35,VDD,Metal1,24.2490,125.3380,1.199949
FILLER_29_28,VDD,Metal1,20.8890,125.3380,1.199965
FILLER_29_21,VDD,Metal1,17.5290,125.3380,1.199978
FILLER_29_14,VDD,Metal1,14.1690,125.3380,1.199978
FILLER_29_7,VDD,Metal1,10.8090,125.3380,1.199978
FILLER_29_0,VDD,Metal1,7.4490,125.3380,1.199978
FILLER_28_246,VDD,Metal1,124.0800,124.7400,1.198668
FILLER_28_239,VDD,Metal1,122.1690,124.1410,1.198668
FILLER_28_232,VDD,Metal1,118.8090,124.1410,1.198668
FILLER_28_225,VDD,Metal1,115.4490,124.1410,1.198668
FILLER_28_209,VDD,Metal1,107.7690,124.1410,1.198668
FILLER_28_176,VDD,Metal1,91.2110,124.1430,1.199865
FILLER_28_155,VDD,Metal1,80.6400,124.7400,1.199865
FILLER_28_140,VDD,Metal1,73.2000,124.7400,1.199846
FILLER_28_138,VDD,Metal1,72.4800,124.7400,1.199843
FILLER_28_100,VDD,Metal1,54.2400,124.7400,1.199797
FILLER_28_64,VDD,Metal1,36.9600,124.7400,1.199798
FILLER_28_51,VDD,Metal1,30.4800,124.7400,1.199876
FILLER_28_49,VDD,Metal1,29.7600,124.7400,1.199876
FILLER_28_44,VDD,Metal1,27.1200,124.7400,1.199949
FILLER_28_30,VDD,Metal1,20.4000,124.7400,1.199965
FILLER_28_28,VDD,Metal1,19.6800,124.7400,1.199965
FILLER_28_21,VDD,Metal1,17.5290,124.1410,1.199978
FILLER_28_14,VDD,Metal1,14.1690,124.1410,1.199978
FILLER_28_7,VDD,Metal1,10.8090,124.1410,1.199978
FILLER_28_0,VDD,Metal1,7.4490,124.1410,1.199978
FILLER_27_241,VDD,Metal1,121.9200,117.1800,1.198886
FILLER_27_237,VDD,Metal1,120.4910,117.7760,1.198891
FILLER_27_230,VDD,Metal1,117.8490,117.7780,1.198894
FILLER_27_222,VDD,Metal1,113.2910,117.7760,1.198949
FILLER_27_214,VDD,Metal1,108.7200,117.1800,1.199049
FILLER_27_212,VDD,Metal1,108.0000,117.1800,1.199049
FILLER_27_205,VDD,Metal1,105.8490,117.7780,1.199053
FILLER_27_153,VDD,Metal1,79.4400,117.1800,1.198431
FILLER_27_151,VDD,Metal1,78.7200,117.1800,1.198478
FILLER_27_146,VDD,Metal1,76.0800,117.1800,1.198671
FILLER_27_144,VDD,Metal1,75.3600,117.1800,1.198671
FILLER_27_137,VDD,Metal1,71.7600,117.1800,1.198674
FILLER_27_133,VDD,Metal1,70.5710,117.7760,1.198676
FILLER_27_129,VDD,Metal1,67.9200,117.1800,1.198676
FILLER_27_127,VDD,Metal1,67.2000,117.1800,1.198698
FILLER_27_120,VDD,Metal1,65.0490,117.7780,1.198710
FILLER_27_79,VDD,Metal1,44.1600,117.1800,1.198835
FILLER_27_64,VDD,Metal1,36.7200,117.1800,1.199113
FILLER_27_46,VDD,Metal1,28.3200,117.1800,1.199888
FILLER_27_25,VDD,Metal1,18.0000,117.1800,1.199898
FILLER_27_21,VDD,Metal1,16.8110,117.7760,1.199898
FILLER_27_14,VDD,Metal1,14.1690,117.7780,1.199898
FILLER_27_7,VDD,Metal1,10.8090,117.7780,1.199898
FILLER_27_0,VDD,Metal1,7.4490,117.7780,1.199898
FILLER_26_246,VDD,Metal1,124.0800,117.1800,1.198886
FILLER_26_208,VDD,Metal1,105.8400,117.1800,1.199053
