2026-02-08 21:26:31 +0000: Memory Usage (424364K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/hdl_projects/capa_clasificacion/libreline/classifier_top/runs/RUN_2026-02-08_21-25-15/57-magic-streamout/classifier_top.gds
2026-02-08 21:26:31 +0000: Memory Usage (424364K) : Ruby Version for klayout: 3.3.10
2026-02-08 21:26:31 +0000: Memory Usage (425516K) : Loading database to memory is complete.
2026-02-08 21:26:31 +0000: Memory Usage (425516K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/hdl_projects/capa_clasificacion/libreline/classifier_top/runs/RUN_2026-02-08_21-25-15/64-klayout-drc/reports/drc.klayout.lyrdb
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : Evaluate switches.
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : tables selected: main
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : KLayout will use 16 thread(s) in tiling mode.
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : deep mode is enabled.
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : FEOL enabled: true
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : BEOL enabled: true
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : OFFGRID enabled: true
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : PIN enabled: true
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : FORBIDDEN enabled: true
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : RECOMMENDED enabled: false
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : PreCheck DRC enabled: false
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : CONNECTIVITY_RULES enabled: true.
2026-02-08 21:26:31 +0000: Memory Usage (425644K) : Read in polygons from layers.
2026-02-08 21:26:31 +0000: Memory Usage (426796K) : activ_drw has 5878 polygons
2026-02-08 21:26:31 +0000: Memory Usage (426796K) : activ_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (426796K) : activ_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (426796K) : activ_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (426924K) : activ_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (426924K) : activ_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (426924K) : activ_iopc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (426924K) : activ_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427052K) : biwind_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427052K) : biwind_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427180K) : pemwind_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427180K) : gatpoly_drw has 5262 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427180K) : gatpoly_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : gatpoly_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : gatpoly_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : gatpoly_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : gatpoly_iopc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : gatpoly_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : cont_drw has 41097 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : cont_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : nsd_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : nsd_block has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427308K) : metal1_drw has 10998 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427436K) : metal1_pin has 4958 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427436K) : metal1_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427436K) : metal1_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427564K) : metal1_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427564K) : metal1_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427820K) : metal1_text has 4868 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427820K) : metal1_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427948K) : metal1_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (427948K) : metal1_res has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428076K) : metal1_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428076K) : metal1_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428076K) : passiv_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428204K) : passiv_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428204K) : passiv_sbump has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428332K) : passiv_pillar has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428332K) : passiv_pdl has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428332K) : metal2_drw has 5811 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428332K) : metal2_pin has 21 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428332K) : metal2_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428460K) : metal2_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428460K) : metal2_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428588K) : metal2_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428588K) : metal2_text has 555 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428716K) : metal2_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428844K) : metal2_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428844K) : metal2_res has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428972K) : metal2_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (428972K) : metal2_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429100K) : baspoly_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429100K) : baspoly_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429228K) : psd_drw has 2707 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429228K) : nldb_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429356K) : digibnd_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429356K) : via1_drw has 2510 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429612K) : backmetal1_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429612K) : backmetal1_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429612K) : backmetal1_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (429740K) : backmetal1_filler has 0 polygons
